step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,cache_hits
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.733889,0.000043,1,1,1404,1377,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.747632,0.000040,1,1,1406,1378,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.761400,0.000044,1,1,1408,1379,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.775172,0.000041,1,1,1410,1380,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.788936,0.000041,1,1,1412,1381,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.802758,0.000042,1,1,1414,1382,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.816561,0.000042,1,1,1416,1383,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.830326,0.000043,1,1,1418,1384,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.844069,0.000042,1,1,1420,1385,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.857825,0.000041,1,1,1422,1386,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.871576,0.000042,1,1,1424,1387,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.885357,0.000041,1,1,1426,1388,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.899119,0.000042,1,1,1428,1389,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.912883,0.000042,1,1,1430,1390,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.926622,0.000042,1,1,1432,1391,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.940395,0.000042,1,1,1434,1392,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.954249,0.000042,1,1,1436,1393,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.968013,0.000041,1,1,1438,1394,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.981775,0.000043,1,1,1440,1395,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165908.995523,0.000042,1,1,1442,1396,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.009293,0.000041,1,1,1444,1397,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.023058,0.000041,1,1,1446,1398,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.036817,0.000042,1,1,1448,1399,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.050558,0.000041,1,1,1450,1400,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.064329,0.000043,1,1,1452,1401,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.078099,0.000041,1,1,1454,1402,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.091873,0.000042,1,1,1456,1403,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.105727,0.000041,1,1,1458,1404,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.119506,0.000042,1,1,1460,1405,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.133263,0.000041,1,1,1462,1406,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.147027,0.000043,1,1,1464,1407,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.160807,0.000060,1,1,1466,1408,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.174585,0.000042,1,1,1468,1409,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.188373,0.000044,1,1,1470,1410,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.202137,0.000041,1,1,1472,1411,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.215896,0.000043,1,1,1474,1412,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.229696,0.000043,1,1,1476,1413,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.243466,0.000042,1,1,1478,1414,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.257336,0.000043,1,1,1480,1415,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.271099,0.000042,1,1,1482,1416,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.284876,0.000041,1,1,1484,1417,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.298643,0.000042,1,1,1486,1418,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.312466,0.000042,1,1,1488,1419,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.326229,0.000041,1,1,1490,1420,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.339990,0.000047,1,1,1492,1421,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.353745,0.000040,1,1,1494,1422,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.367480,0.000041,1,1,1496,1423,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.381239,0.000041,1,1,1498,1424,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.394990,0.000043,1,1,1500,1425,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.408838,0.000042,1,1,1502,1426,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.422592,0.000042,1,1,1504,1427,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.436357,0.000041,1,1,1506,1428,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.450119,0.000043,1,1,1508,1429,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.463888,0.000044,1,1,1510,1430,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.477654,0.000042,1,1,1512,1431,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.491398,0.000043,1,1,1514,1432,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.505174,0.000041,1,1,1516,1433,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.518944,0.000042,1,1,1518,1434,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.532707,0.000043,1,1,1520,1435,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.546455,0.000040,1,1,1522,1436,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.560324,0.000043,1,1,1524,1437,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.574095,0.000044,1,1,1526,1438,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.587842,0.000043,1,1,1528,1439,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.601593,0.000041,1,1,1530,1440,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.615346,0.000042,1,1,1532,1441,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.629110,0.000041,1,1,1534,1442,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.642865,0.000042,1,1,1536,1443,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.656648,0.000042,1,1,1538,1444,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.670401,0.000042,1,1,1540,1445,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.684156,0.000041,1,1,1542,1446,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.697948,0.000043,1,1,1544,1447,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.711711,0.000043,1,1,1546,1448,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.725500,0.000042,1,1,1548,1449,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.739265,0.000041,1,1,1550,1450,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.753013,0.000040,1,1,1552,1451,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.766785,0.000042,1,1,1554,1452,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.780550,0.000042,1,1,1556,1453,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.794295,0.000041,1,1,1558,1454,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.808030,0.000041,1,1,1560,1455,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.821788,0.000041,1,1,1562,1456,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.835549,0.000043,1,1,1564,1457,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.849300,0.000041,1,1,1566,1458,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.863073,0.000041,1,1,1568,1459,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.876840,0.000042,1,1,1570,1460,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.890589,0.000042,1,1,1572,1461,0,0
decode,chatcmpl-ae5702c29bc2258d-a77172a1,3165909.904362,0.000042,1,1,1574,1462,0,0
