step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.574117,0.014182,1,1,1475,1474,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.588526,0.014192,1,1,1476,1475,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.602942,0.014505,1,1,1477,1476,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.617674,0.014192,1,1,1478,1477,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.632100,0.014206,1,1,1479,1478,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.646530,0.014194,1,1,1480,1479,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.660950,0.014236,1,1,1481,1480,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.675410,0.014211,1,1,1482,1481,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.689845,0.014197,1,1,1483,1482,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.704268,0.014296,1,1,1484,1483,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.718787,0.014185,1,1,1485,1484,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.733199,0.014185,1,1,1486,1485,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.747610,0.014240,1,1,1487,1486,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.762077,0.014303,1,1,1488,1487,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.776608,0.014202,1,1,1489,1488,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.791039,0.014213,1,1,1490,1489,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.805476,0.014198,1,1,1491,1490,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.819902,0.014213,1,1,1492,1491,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.834344,0.014191,1,1,1493,1492,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.848764,0.014203,1,1,1494,1493,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.863191,0.014203,1,1,1495,1494,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.877622,0.014209,1,1,1496,1495,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.892066,0.014192,1,1,1497,1496,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.906497,0.014188,1,1,1498,1497,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.920910,0.014188,1,1,1499,1498,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.935322,0.014204,1,1,1500,1499,0,0
enc_prefill,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174613.977399,0.338268,1,1369,1369,0,1,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.315944,0.014336,1,1,1370,1369,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.330513,0.014221,1,1,1371,1370,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.345164,0.014261,1,1,1372,1371,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.359646,0.014212,1,1,1373,1372,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.374083,0.014207,1,1,1374,1373,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.388517,0.014222,1,1,1375,1374,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.402965,0.014241,1,1,1376,1375,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.417432,0.014188,1,1,1377,1376,0,0
enc_decode,chatcmpl-86398f41cbba4b22a5a44ebce408e970,3174614.431848,0.014201,1,1,1378,1377,0,0
